Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 09:10:06,2023-02-13 09:10:07,1.700s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 09:10:07,2023-02-13 09:10:07,0.135s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 09:10:07,2023-02-13 09:10:07,0.000s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:10:07,2023-02-13 09:10:39,31.670s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:10:39,2023-02-13 09:10:40,0.972s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:10:40,2023-02-13 09:10:47,7.112s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:10:47,2023-02-13 09:11:07,20.362s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:11:07,2023-02-13 09:12:19,1m - 11.923s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 09:12:19,2023-02-13 09:12:30,10.527s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:12:30,2023-02-13 09:12:31,0.571s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:12:31,2023-02-13 09:12:42,11.111s,PASSED
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:12:42,2023-02-13 09:14:16,1m - 34.015s,FAILED
Start tear down : teardownIfFailed,Chrome 109.0.0.0,,,2023-02-13 09:14:16,2023-02-13 09:14:16,0.034s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 09:14:16,2023-02-13 09:18:23,4m - 7.618s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 09:14:16,2023-02-13 09:14:16,0.000s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 09:14:16,2023-02-13 09:14:16,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 09:14:16,2023-02-13 09:14:17,1.716s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 09:14:17,2023-02-13 09:14:18,0.143s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 09:14:18,2023-02-13 09:14:18,0.000s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:14:18,2023-02-13 09:14:50,32.511s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:14:50,2023-02-13 09:14:51,1.206s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:14:51,2023-02-13 09:14:58,7.180s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:14:58,2023-02-13 09:15:19,20.399s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:15:19,2023-02-13 09:16:28,1m - 9.564s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 09:16:28,2023-02-13 09:16:39,10.431s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:16:39,2023-02-13 09:16:39,0.462s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:16:39,2023-02-13 09:16:50,10.994s,PASSED
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:16:50,2023-02-13 09:17:53,1m - 3.027s,PASSED
shopify.store.confirmPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:17:53,2023-02-13 09:18:04,10.495s,PASSED
"shopify.store_setting.changeStoreCurrency(currency, store_name)",Chrome 109.0.0.0,,,2023-02-13 09:18:04,2023-02-13 09:18:23,18.896s,PASSED
shopify.store_setting.saveStoreSetting(),Chrome 109.0.0.0,,,2023-02-13 09:18:23,2023-02-13 09:18:23,0.541s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-13 09:18:23,2023-02-13 09:18:23,0.037s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 09:18:23,2023-02-13 09:22:34,4m - 10.516s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 09:18:23,2023-02-13 09:18:23,0.001s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 09:18:23,2023-02-13 09:18:23,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 09:18:23,2023-02-13 09:18:25,1.731s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 09:18:25,2023-02-13 09:18:25,0.145s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 09:18:25,2023-02-13 09:18:25,0.000s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:18:25,2023-02-13 09:19:01,36.019s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:19:01,2023-02-13 09:19:02,0.980s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:19:02,2023-02-13 09:19:09,6.587s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:19:09,2023-02-13 09:19:29,20.400s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:19:29,2023-02-13 09:20:41,1m - 11.511s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 09:20:41,2023-02-13 09:20:51,10.410s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:20:51,2023-02-13 09:20:52,0.479s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:20:52,2023-02-13 09:21:03,11.005s,PASSED
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:21:03,2023-02-13 09:22:04,1m - 1.000s,PASSED
shopify.store.confirmPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:22:04,2023-02-13 09:22:14,10.485s,PASSED
"shopify.store_setting.changeStoreCurrency(currency, store_name)",Chrome 109.0.0.0,,,2023-02-13 09:22:14,2023-02-13 09:22:33,19.132s,PASSED
shopify.store_setting.saveStoreSetting(),Chrome 109.0.0.0,,,2023-02-13 09:22:33,2023-02-13 09:22:34,0.562s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-13 09:22:34,2023-02-13 09:22:34,0.037s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 09:22:34,2023-02-13 09:26:39,4m - 4.952s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 09:22:34,2023-02-13 09:22:34,0.001s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 09:22:34,2023-02-13 09:22:34,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 09:22:34,2023-02-13 09:22:36,1.669s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 09:22:36,2023-02-13 09:22:36,0.140s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 09:22:36,2023-02-13 09:22:36,0.000s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:22:36,2023-02-13 09:23:11,35.246s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:23:11,2023-02-13 09:23:12,1.117s,PASSED
